"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county","rape.rate5","rape.rate6","rape.rate7","rape.rate9","rape.rate11","rape.rate12","rape.rate13","rape.rate15"
77073,NA,NA,NA,NA,NA,NA,NA,1781,NA,1781,1781,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,-95.4,"TX",NA,"Universal Technical Institute of Texas Inc.","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77074,NA,NA,2339,2710,NA,NA,2339,3160,2710,3160,3160,0,0,0,0,NA,NA,NA,NA,2,0,0,29.69,-95.52,"TX","Private nonprofit, 4-year or above","Houston Baptist University","Houston","Harris County",0,0,0,NA,NA,NA,0,0.0632911392405063
77074,NA,NA,NA,478,NA,NA,NA,NA,478,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.52,"TX",NA,"Westwood College-Houston South","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77074,NA,NA,NA,34,NA,NA,NA,NA,34,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.52,"TX",NA,"The Academy of Health Care Professions","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77074,NA,NA,NA,NA,NA,NA,NA,318,NA,318,318,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.52,"TX",NA,"The College of Health Care Professions-Southwest Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77074,NA,NA,NA,NA,NA,NA,NA,139,NA,139,139,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.52,"TX",NA,"Houston Training Schools-Southwest","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77076,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.86,-95.38,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77079,NA,NA,3638,2987,NA,NA,3638,NA,2987,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.78,-95.6,"TX","Private for-profit, 4-year or above","University of Phoenix-Houston Westside Campus","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77079,NA,NA,186,163,NA,NA,186,114,163,114,114,0,0,0,0,NA,NA,NA,NA,0,0,0,29.78,-95.6,"TX","not Dertermined yet","Texas Health School","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77079,2828,2828,NA,NA,2828,2958,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,29.78,-95.6,"TX",NA,"Fuller Theological Seminary in California","Houston","Harris County",NA,NA,NA,0,0,0,NA,NA
77079,NA,NA,NA,NA,NA,NA,NA,1778,NA,1778,1778,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.78,-95.6,"TX",NA,"Strayer University-Texas","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77079,NA,NA,NA,NA,NA,NA,NA,3841,NA,3841,3841,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.78,-95.6,"TX",NA,"University of Phoenix-Texas","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77081,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.71,-95.48,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77081,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.71,-95.48,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77081,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.71,-95.48,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77081,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.71,-95.48,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77081,NA,NA,13,21,NA,NA,13,NA,21,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.71,-95.48,"TX","Private for-profit, less-than 2-year","Interactive Learning Systems","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77081,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.71,-95.48,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77081,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.71,-95.48,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77081,NA,NA,NA,NA,NA,NA,NA,60,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.71,-95.48,"TX",NA,"Interactive College of Technology","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77081,NA,NA,NA,NA,NA,NA,NA,3841,NA,3841,3841,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.71,-95.48,"TX",NA,"University of Phoenix-Texas","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77082,NA,NA,NA,651,NA,NA,NA,NA,651,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.72,-95.64,"TX",NA,"Remington College-Houston Campus","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77082,NA,NA,NA,796,NA,NA,NA,NA,796,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.72,-95.64,"TX",NA,"Remington College-North Houston Campus","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77082,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.72,-95.64,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77082,NA,NA,NA,NA,NA,NA,NA,210,NA,210,210,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.72,-95.64,"TX",NA,"Fortis College-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77083,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.65,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77083,NA,NA,81,107,NA,NA,81,NA,107,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.65,"TX","Private for-profit, less-than 2-year","Sebring Career Schools","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77083,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.65,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77083,NA,NA,NA,NA,NA,NA,NA,116,NA,116,116,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.65,"TX",NA,"Sebring Career Schools-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77084,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.83,-95.66,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77084,3531,3531,NA,NA,3531,3071,NA,4450,NA,4450,4450,NA,NA,NA,NA,0,0,0,0,0,0,0,29.83,-95.66,"TX",NA,"Belhaven University","Houston","Harris County",NA,NA,NA,0,0,0,0,0
77084,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,29.83,-95.66,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0.00176922260358798
77087,NA,NA,43518,54942,NA,NA,43518,NA,54942,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.3,"TX","Public, 2-year","Houston Community College System","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77087,NA,NA,410,259,NA,NA,410,NA,259,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.69,-95.3,"TX","Private for-profit, less-than 2-year","Houston Training School-South","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77087,NA,NA,NA,1137,NA,NA,NA,464,1137,464,464,NA,NA,0,0,NA,NA,NA,NA,0,0,0,29.69,-95.3,"TX",NA,"Everest Institute-Hobby","Houston","Harris County",NA,NA,0,NA,NA,NA,0,0
77087,NA,NA,NA,NA,NA,NA,NA,56522,NA,56522,56522,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.3,"TX",NA,"Houston Community College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77087,NA,NA,NA,NA,NA,NA,NA,200,NA,200,200,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.69,-95.3,"TX",NA,"Houston Training School-Gulfgate","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
