"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"Argosy University-Phoenix","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-Salt Lake City","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-San Diego","Private for-profit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Argosy University-San Francisco Bay Area","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argosy University-Sarasota","Private for-profit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Argosy University-Schaumburg","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-Seattle","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-Tampa","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Hollywood","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Inland Empire","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Los Angeles","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Orange County","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Sacramento","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-San Diego","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-San Francisco","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-The Art Institute of California-Silicon Valley","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Argosy University-Twin Cities","Private for-profit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Argosy University-Washington D.C.","Private for-profit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Argosy University-Washington DC","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
