"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,997756720,0,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,99701,0,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
"University of Alaska Southeast","Public, 4-year or above",1018,1934,2952,0,0,99801,0,0,1072,2188,3260,"1150","2194","3344",1,"Public, 4-year or above","Public, 4-year or above","1072","2045","3117","0",0,0,"Public, 4-year or above",929,1871,2800,1,1,0
"Alaska Pacific University","Private nonprofit, 4-year or above",233,486,719,0,0,99508,0,0,251,530,781,"235","457","692",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","240","417","657","0",0,0,"Private nonprofit, 4-year or above",174,342,516,0,0,0
"Alaska Vocational Technical Center","Public, less-than 2-year",452,151,603,0,0,996640889,0,0,621,199,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prince William Sound Community College","Public, 2-year",445,464,909,0,0,99686,0,0,248,346,594,"320","428","748",0,"Public, 2-year","Public, 2-year","183","344","527","0",0,0,NA,NA,NA,NA,NA,NA,NA
"Career Academy","Private for-profit, less-than 2-year",39,252,291,0,0,995071033,0,0,65,345,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins College","Private for-profit, 4-year or above",1345,355,1700,0,0,852815206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collins College","Private for-profit, 4-year or above",1345,355,1700,0,0,850212740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artistic Beauty Colleges-Paradise Valley","Private for-profit, less-than 2-year",1,50,51,0,0,85032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artistic Beauty Colleges-Tucson","Private for-profit, less-than 2-year",13,241,254,0,0,85716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thunderbird School of Global Management","Private nonprofit, 4-year or above",858,336,1194,0,0,853066000,0,0,902,407,1309,"877","390","1267",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","819","371","1190","0",0,0,"Public, 4-year or above",282,134,416,0,0,0
"American Institute of Technology","Private for-profit, less-than 2-year",439,51,490,0,0,850434729,0,0,344,27,371,"382","39","421",0,"Private for-profit, less-than 2-year","Private for-profit, less-than 2-year","425","49","474","0",0,0,"Private for-profit, less-than 2-year",292,32,324,0,0,0
"College America","Private for-profit, 2-year",26,171,197,0,0,86004,0,0,53,226,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona Academy of Beauty Inc","Private for-profit, less-than 2-year",2,45,47,0,0,85712,0,0,5,77,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arizona Automotive Institute","Private for-profit, 2-year",572,10,582,0,0,853013579,0,0,702,103,805,"1241","80","1321",0,"Private for-profit, 2-year","Private for-profit, 2-year","679","47","726","0",0,0,"Private for-profit, less-than 2-year",624,31,655,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","1",1,1,"Public, 2-year",3229,4285,7514,0,0,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,1,0
"Arizona Western College","Public, 2-year",2762,4191,6953,0,1,85365,0,0,3354,4630,7984,"3603","4815","8418",0,"Public, 2-year","Public, 2-year","3366","4511","7877","0",0,0,"Public, 2-year",3229,4285,7514,0,0,0
